2009/11/14,189,2699,82,88
2009/11/17,189,311,70,90
2009/11/20,254,189,58,65
2009/11/21,5,189,63,59
2009/11/22,128,189,59,50
2009/11/28,43,189,72,78
2009/12/04,189,660,58,60
2009/12/05,189,494,72,63
2009/12/11,189,650,96,81
2009/12/12,189,62,77,76
2009/12/19,312,189,71,67
2009/12/22,189,626,73,76
2009/12/29,189,72,59,67
2010/01/01,782,189,61,38
2010/01/03,189,305,46,60
2010/01/06,169,189,73,69
2010/01/09,659,189,65,70
2010/01/12,189,669,88,77
2010/01/17,189,299,69,59
2010/01/20,219,189,65,72
2010/01/23,189,782,78,64
2010/01/27,504,189,67,51
2010/01/30,189,169,79,74
2010/02/02,72,189,67,65
2010/02/06,299,189,71,68
2010/02/10,189,504,48,57
2010/02/13,305,189,76,66
2010/02/16,189,659,79,72
2010/02/20,101,189,80,90
2010/02/24,669,189,75,59
2010/02/27,189,219,53,56
2010/03/04,659,189,61,63
2010/03/05,504,189,55,40
2009/11/13,610,472,100,68
2009/11/16,610,626,80,58
2009/11/20,610,736,70,72
2009/11/23,610,90,92,67
2009/11/25,610,506253,100,59
2009/11/30,630,610,71,78
2009/12/05,731,610,63,68
2009/12/12,529,610,76,81
2009/12/15,610,550,101,80
2009/12/18,610,534,80,65
2009/12/22,500,610,67,78
2009/12/23,657,610,60,49
2009/12/25,277,610,75,84
2009/12/29,610,62,85,57
2009/12/30,610,290,94,46
2010/01/08,629,610,62,83
2010/01/10,631,610,72,80
2010/01/14,610,260,82,89
2010/01/16,610,551,77,72
2010/01/21,610,627,71,56
2010/01/28,541,610,71,88
2010/01/30,370,610,67,85
2010/02/04,610,631,74,62
2010/02/06,610,629,73,57
2010/02/11,260,610,80,61
2010/02/13,551,610,80,75
2010/02/18,627,610,49,61
2010/02/25,610,541,76,49
2010/02/27,610,370,88,80
2010/03/07,551,610,55,69
2010/03/08,260,610,62,81
2009/11/15,742,80,69,55
2009/11/17,742,459,59,46
2009/11/23,115,742,60,71
2009/11/27,690,742,61,50
2009/11/28,180,742,66,74
2009/12/01,312,742,64,70
2009/12/06,742,257,74,62
2009/12/09,742,741,98,73
2009/12/12,539,742,64,66
2009/12/19,742,48,73,50
2009/12/22,742,391,71,34
2009/12/30,742,363,85,50
2010/01/02,635,742,94,103
2010/01/10,457,742,78,64
2010/01/13,742,415,81,66
2010/01/16,234,742,63,58
2010/01/18,742,489,72,30
2010/01/23,742,67,63,62
2010/01/28,746,742,71,76
2010/01/31,415,742,82,75
2010/02/04,742,457,74,70
2010/02/06,742,147,70,59
2010/02/10,490,742,52,72
2010/02/13,742,746,61,55
2010/02/16,742,749,87,83
2010/02/21,193,742,67,55
2010/02/24,67,742,80,60
2010/02/27,742,392,100,104
2010/03/03,742,490,71,59
2010/03/06,255,742,82,88
2010/03/12,415,742,70,65
2009/12/01,327,9011,83,76
2009/12/05,464,9011,68,79
2009/12/07,9011,506050,109,49
2009/12/09,9011,507,78,66
2009/12/12,9011,9013,67,54
2009/12/18,9011,506120,92,37
2009/12/30,9011,2814,68,55
2010/01/02,499,9011,47,71
2010/01/04,130,9011,71,81
2010/01/09,9011,2755,102,89
2010/01/11,9011,9012,87,81
2010/01/16,1314,9011,56,69
